flight_id,flight_number,origin_airport_code,destination_code,origin_city,destination_city,departure_time,arrival_time,departure_delay,arrival_delay,distance,aircraft_type,passenger_count,ticket_price,fuel_cost,crew_cost,operational_cost,revenue,date,region
100071,EK201,DXB,LHR,Dubai,London,10-08-2023 05:54,10-08-2023 08:21,0,11,3997,A350,143,182.92,5043.024209,7451.026266,21693.32859,26157.56,10-08-2023,Middle East
100072,DL401,,ORD,Atlanta,Chicago,09-11-2023 06:20,09-11-2023 12:32,,22,1925,A321,225,534.72,7004.120243,3587.876752,94190.97429,120312,09-11-2023,North America
100073,AI102,DEL,,Delhi,Dubai,25-04-2023 08:46,25-04-2023 13:51,0,,6993,B777,124,486.39,7514.969086,4819.474874,39019.67144,60312.36,25-04-2023,Asia
100074,AI101,DEL,LHR,Delhi,London,18-06-2023 13:20,18-06-2023 19:15,20,13,4124,B737,152,592.09,8302.624213,5750.348043,66257.13781,89997.68,18-06-2023,Asia
100075,UA301,JFK,LAX,New York,Los Angeles,06-11-2023 13:50,06-11-2023 16:47,15,14,4652,A321,219,257.37,2571.278695,2995.536735,36337.71092,56364.03,06-11-2023,North America
100076,DL401,ATL,ORD,Atlanta,Chicago,30-07-2023 03:50,30-07-2023 12:19,0,12,6894,B737,111,428.09,6003.777417,4962.771316,32845.73465,47517.99,30-07-2023,North America
100077,AI102,DEL,DXB,Delhi,Dubai,30-01-2023 00:37,30-01-2023 08:59,15,0,4050,B787,162,522.6,8687.668911,5451.194655,51453.64585,84661.2,30-01-2023,Asia
100078,AI101,DEL,LHR,Delhi,London,16-07-2023 06:02,16-07-2023 07:43,47,16,4857,A321,124,429.35,9975.563799,4615.309922,42349.43229,53239.4,16-07-2023,Asia
100079,SQ701,SIN,BLR,Singapore,Bangalore,08-03-2023 10:34,08-03-2023 19:35,0,19,2013,A321,169,385.84,,6162.042044,45404.74586,65206.96,08-03-2023,Asia
100080,DL401,ATL,ORD,Atlanta,Chicago,19-10-2023 14:24,19-10-2023 16:01,0,22,2199,B777,196,161.64,8919.284672,6949.56322,21407.77172,31681.44,19-10-2023,North America
100081,AI101,DEL,LHR,Delhi,London,03-12-2023 09:37,03-12-2023 17:40,33,0,8467,B787,93,231.31,5536.327646,2309.670651,15241.85882,21511.83,03-12-2023,Asia
100082,DL401,ATL,ORD,Atlanta,Chicago,06-04-2023 09:37,06-04-2023 15:31,29,15,772,B787,192,716.59,6870.973337,3435.784774,102557.9305,137585.28,06-04-2023,North America
100083,EK201,DXB,LHR,Dubai,London,15-08-2023 06:45,15-08-2023 07:59,26,42,2158,B777,221,385.59,9576.485939,5886.258133,56873.6203,85215.39,15-08-2023,Middle East
100084,EK201,DXB,LHR,Dubai,London,29-12-2023 21:44,30-12-2023 03:42,5,0,8205,B777,210,593.79,3949.847249,5307.590461,90360.52268,124695.9,29-12-2023,Middle East
100085,QF601,SYD,SIN,Sydney,Singapore,19-05-2023 19:09,20-05-2023 04:49,0,0,7098,B737,114,704.82,9473.987149,5046.426055,54868.58855,80349.48,19-05-2023,Australia
100086,AI101,DEL,LHR,Delhi,London,25-07-2023 22:58,26-07-2023 05:03,8,14,2734,B777,230,505.95,6308.644622,4070.74365,92859.99466,116368.5,25-07-2023,Asia
100087,QF601,SYD,SIN,Sydney,Singapore,28-11-2023 13:43,28-11-2023 20:12,15,22,6574,A321,128,786.54,8848.103808,4464.650573,67618.94833,100677.12,28-11-2023,Australia
100088,LH501,FRA,DEL,Frankfurt,Delhi,11-12-2023 09:51,11-12-2023 17:21,10,34,2792,B777,178,791.89,9718.595507,2757.477619,118081.7441,140956.42,11-12-2023,Europe
100089,LH501,FRA,DEL,Frankfurt,Delhi,15-03-2023 01:59,15-03-2023 10:29,4,56,2661,B777,105,468.17,8967.463771,7819.740764,36233.19052,49157.85,15-03-2023,Europe
100090,AI102,DEL,DXB,Delhi,Dubai,08-12-2023 20:56,09-12-2023 02:27,22,0,1615,B737,166,,8818.730693,7156.053105,64028.97338,89022.48,08-12-2023,Asia
100091,QF601,SYD,SIN,Sydney,Singapore,19-08-2023 14:03,19-08-2023 23:22,0,16,5008,A321,218,125.13,7974.130934,4603.828832,16926.92532,27278.34,19-08-2023,Australia
100092,AI102,DEL,DXB,Delhi,Dubai,15-03-2023 04:29,15-03-2023 13:03,5,20,1053,B737,122,585.8,8369.147721,3760.206656,62250.22485,71467.6,15-03-2023,Asia
100093,LH501,FRA,DEL,Frankfurt,Delhi,10-11-2023 14:47,10-11-2023 18:16,19,6,3250,A321,142,471.82,3400.554841,5656.950721,51573.95319,66998.44,10-11-2023,Europe
100094,QF601,SYD,SIN,Sydney,Singapore,25-06-2023 08:48,25-06-2023 18:17,0,0,4461,B777,229,200.18,4042.613665,2056.384589,33846.63439,45841.22,25-06-2023,Australia
100095,SQ701,SIN,BLR,Singapore,Bangalore,29-07-2023 10:43,29-07-2023 14:24,1,23,9926,B737,98,409.21,7111.509619,4545.853631,28218.96993,40102.58,29-07-2023,Asia
100096,DL401,ATL,ORD,Atlanta,Chicago,29-11-2023 15:47,29-11-2023 21:56,14,0,2047,A321,130,799.56,5050.914381,4153.754945,88975.10307,103942.8,29-11-2023,North America
100097,DL401,ATL,ORD,Atlanta,Chicago,03-08-2023 23:31,04-08-2023 00:53,13,14,1103,A350,248,377.06,7961.377233,,56333.70237,93510.88,03-08-2023,North America
100098,DL401,,ORD,Atlanta,Chicago,17-06-2023 13:36,17-06-2023 20:36,,,2540,B787,136,545.63,2777.311439,5764.748647,58345.50329,74205.68,17-06-2023,North America
100099,AI101,DEL,LHR,Delhi,London,13-08-2023 22:59,14-08-2023 07:30,11,0,1776,B737,88,,4613.753006,4493.018561,36478.31443,44501.6,13-08-2023,Asia
100100,UA301,,LAX,New York,Los Angeles,07-04-2023 05:39,07-04-2023 12:53,17,18,2995,B737,215,451.26,9312.391628,7665.126897,66144.79465,97020.9,07-04-2023,North America
100101,DL401,ATL,ORD,Atlanta,Chicago,04-09-2023 15:28,04-09-2023 18:25,31,26,3996,B787,199,774.03,7793.733697,7879.653457,98923.50609,154031.97,04-09-2023,North America
100102,LH501,FRA,DEL,Frankfurt,Delhi,07-03-2023 18:09,08-03-2023 01:53,0,0,6338,B787,83,285.12,7992.092828,3572.968449,15076.39275,23664.96,07-03-2023,Europe
100103,QF601,SYD,,Sydney,Singapore,28-09-2023 11:58,28-09-2023 14:48,20,,9498,B737,139,430.03,,3328.2032,46974.37193,59774.17,28-09-2023,Australia
100104,AI102,DEL,DXB,Delhi,Dubai,05-12-2023 01:39,05-12-2023 07:48,20,77,909,B737,246,385.81,9967.418998,2696.722884,60925.39585,94909.26,05-12-2023,Asia
100105,UA301,JFK,LAX,New York,Los Angeles,09-04-2023 18:54,10-04-2023 02:31,21,28,9150,B777,196,359.71,6698.722764,6359.594903,62382.19926,70503.16,09-04-2023,North America
100106,QF601,SYD,SIN,Sydney,Singapore,14-03-2023 02:31,14-03-2023 11:52,29,19,836,B787,237,385.68,4964.23967,4660.298516,80936.17464,91406.16,14-03-2023,Australia
100107,UA301,JFK,LAX,New York,Los Angeles,22-09-2023 02:23,22-09-2023 05:04,3,21,6176,A320,174,481.13,5185.117142,3138.851373,74788.47344,83716.62,22-09-2023,North America
100108,AI102,DEL,DXB,Delhi,Dubai,28-11-2023 02:45,28-11-2023 05:18,0,3,649,A320,249,248.47,8294.356724,3461.413383,48990.85997,61869.03,28-11-2023,Asia
100109,EK201,DXB,LHR,Dubai,London,30-05-2023 10:13,30-05-2023 12:23,0,9,4117,B737,221,245.01,8194.948622,,35996.27496,54147.21,30-05-2023,Middle East
100110,AI101,DEL,LHR,Delhi,London,21-07-2023 21:43,22-07-2023 01:11,56,0,2101,B787,113,,8931.583108,2790.819377,45361.90814,54030.95,21-07-2023,Asia
100111,LH501,FRA,DEL,Frankfurt,Delhi,23-06-2023 06:09,23-06-2023 12:40,23,0,7197,A350,84,221.97,2909.194454,2381.348229,11480.38945,18645.48,23-06-2023,Europe
100112,SQ701,SIN,BLR,Singapore,Bangalore,21-09-2023 15:05,22-09-2023 00:50,0,27,1010,B787,231,176.34,8265.815968,7201.885447,30597.81518,40734.54,21-09-2023,Asia
100113,DL401,ATL,ORD,Atlanta,Chicago,30-11-2023 12:52,30-11-2023 14:23,11,0,7284,B787,95,799.01,,6274.407889,64838.07026,75905.95,30-11-2023,North America
100114,SQ701,SIN,BLR,Singapore,Bangalore,23-02-2023 12:20,23-02-2023 14:42,0,20,4805,A350,162,525.81,7064.613794,5290.138604,52787.19983,85181.22,23-02-2023,Asia
100115,LH501,FRA,DEL,Frankfurt,Delhi,05-10-2023 08:47,05-10-2023 14:48,0,11,2174,B787,196,453.89,7207.333319,6613.776381,64858.93851,88962.44,05-10-2023,Europe
100116,UA301,JFK,LAX,New York,Los Angeles,10-11-2023 04:01,10-11-2023 12:43,10,0,6832,B777,138,389.67,7836.900061,3875.2901,45612.8826,53774.46,10-11-2023,North America
100117,LH501,FRA,DEL,Frankfurt,Delhi,05-07-2023 14:31,05-07-2023 21:54,52,19,1794,A320,119,580.77,2745.840814,2579.386595,51300.20599,69111.63,05-07-2023,Europe
100118,LH501,FRA,DEL,Frankfurt,Delhi,05-04-2023 17:55,05-04-2023 19:56,0,11,2302,B777,230,769.64,4828.784637,5992.04312,136038.6058,177017.2,05-04-2023,Europe
100119,QF601,SYD,SIN,Sydney,Singapore,07-02-2023 11:05,07-02-2023 16:59,0,23,8613,A321,233,318.71,3237.841407,4893.136377,46863.65369,74259.43,07-02-2023,Australia
100120,AI102,DEL,DXB,Delhi,Dubai,12-09-2023 22:41,13-09-2023 05:57,0,5,7330,A350,109,633.82,9796.372817,6910.561157,53350.57532,69086.38,12-09-2023,Asia
100121,AI101,DEL,LHR,Delhi,London,14-07-2023 17:59,14-07-2023 19:28,20,,5867,B737,126,291.29,2048.846315,7219.176239,30416.23375,36702.54,14-07-2023,Asia
100122,QF601,SYD,SIN,Sydney,Singapore,20-02-2023 16:05,20-02-2023 19:30,0,1,8991,A321,242,780.27,5009.555246,4721.874744,118493.0567,188825.34,20-02-2023,Australia
100123,EK201,DXB,LHR,Dubai,London,27-09-2023 11:08,27-09-2023 17:27,0,0,1691,A320,163,643.78,3244.639227,6526.615275,80830.00708,104936.14,27-09-2023,Middle East
100124,AI101,DEL,LHR,Delhi,London,01-03-2023 09:44,01-03-2023 15:22,45,15,7542,B777,193,563.36,4185.334755,6529.658862,81078.66569,108728.48,01-03-2023,Asia
100125,AI102,DEL,DXB,Delhi,Dubai,09-09-2023 08:19,09-09-2023 16:39,0,24,8272,A350,108,298.27,,2272.504176,25884.75188,32213.16,09-09-2023,Asia
100126,QF601,SYD,SIN,Sydney,Singapore,09-02-2023 21:23,09-02-2023 22:30,52,26,2548,B737,132,310.99,4315.57705,2719.906062,27231.79755,41050.68,09-02-2023,Australia
100127,SQ701,SIN,BLR,Singapore,Bangalore,10-11-2023 14:14,10-11-2023 18:13,0,0,8496,A350,113,366.15,8666.833619,6837.201119,33559.279,41374.95,10-11-2023,Asia
100128,AI102,,DXB,Delhi,Dubai,17-10-2023 03:19,17-10-2023 05:02,,0,5429,A350,191,113.12,5434.27429,4426.537307,18934.32056,21605.92,17-10-2023,Asia
100129,QF601,SYD,SIN,Sydney,Singapore,30-07-2023 19:38,30-07-2023 22:35,18,21,7838,B787,183,114.6,9358.158014,2528.779288,14626.37199,20971.8,30-07-2023,Australia
100130,AI102,DEL,DXB,Delhi,Dubai,27-06-2023 04:15,27-06-2023 12:41,0,6,5383,B787,230,380.31,4716.106249,3998.411735,54546.5889,87471.3,27-06-2023,Asia
100131,EK201,DXB,LHR,Dubai,London,25-02-2023 14:49,26-02-2023 00:31,0,0,6024,B737,242,179.82,7819.032845,6913.691609,32767.2535,43516.44,25-02-2023,Middle East
100132,EK201,DXB,LHR,Dubai,London,22-06-2023 01:05,22-06-2023 03:50,4,0,2804,B787,117,279.18,2602.826189,7707.752843,21298.59074,32664.06,22-06-2023,Middle East
100133,SQ701,SIN,BLR,Singapore,Bangalore,04-12-2023 20:10,05-12-2023 04:49,42,0,5595,B787,224,550.09,4529.111156,4638.576898,110400.2833,123220.16,04-12-2023,Asia
100134,SQ701,SIN,BLR,Singapore,Bangalore,19-11-2023 00:08,19-11-2023 06:18,1,,1515,B737,150,513.99,5693.939892,2225.643473,54399.36524,77098.5,19-11-2023,Asia
100135,LH501,FRA,DEL,Frankfurt,Delhi,29-07-2023 01:02,29-07-2023 03:20,38,0,8607,B777,245,704.98,5701.693271,5325.898228,147949.967,172720.1,29-07-2023,Europe
100136,AI101,DEL,LHR,Delhi,London,24-11-2023 11:39,24-11-2023 15:51,33,8,1313,B777,162,523.5,2828.015018,7394.761004,63640.03703,84807,24-11-2023,Asia
100137,LH501,FRA,DEL,Frankfurt,Delhi,03-03-2023 09:45,03-03-2023 19:21,0,16,7472,B777,245,220.79,6192.548425,,36476.53125,54093.55,03-03-2023,Europe
100138,LH501,FRA,DEL,Frankfurt,Delhi,29-09-2023 12:03,29-09-2023 17:52,13,0,1157,B787,179,386.14,,2395.471126,48487.72174,69119.06,29-09-2023,Europe
100139,AI102,DEL,DXB,Delhi,Dubai,09-10-2023 11:41,09-10-2023 17:31,11,1,2763,B737,144,606.61,2652.0159,5981.672636,69616.72831,87351.84,09-10-2023,Asia
100140,LH501,FRA,DEL,Frankfurt,Delhi,14-08-2023 21:41,15-08-2023 05:22,12,19,5372,A350,,516.53,5013.434448,6749.971747,51445.49676,58367.89,14-08-2023,Europe
100141,EK201,DXB,LHR,Dubai,London,10-03-2023 01:12,10-03-2023 09:25,41,0,3253,A321,210,353.28,4733.858761,6596.937246,52583.48578,74188.8,10-03-2023,Middle East
100142,UA301,JFK,LAX,New York,Los Angeles,14-06-2023 23:07,15-06-2023 02:27,52,0,1957,A350,119,154.02,8166.997763,7010.71896,15640.12932,18328.38,14-06-2023,North America
100143,AI101,DEL,LHR,Delhi,London,03-09-2023 05:23,03-09-2023 08:37,6,18,3012,B787,232,363.7,5501.387241,4465.151669,54734.08805,84378.4,03-09-2023,Asia
