flight_id,airline,flight_number,origin_airport,destination_airport,origin_city,destination_city,departure_time,arrival_time,departure_delay,arrival_delay,distance,aircraft_type,passenger_count,ticket_price,fuel_cost,crew_cost,operational_cost,date,region
100060,IndiGo,IN9117,JFK,ORD,New York,Chicago,10/22/2023 11:25,10/23/2023 0:13,25,0,4286,Airbus A321,158,823.64,13878.24,5320.84,26324.17,10/22/2023,North America
100061,Qatar Airways,QA3133,CDG,DXB,Paris,Dubai,8/12/2023 6:37,8/12/2023 11:54,38,0,4077,Boeing 737,110,887.84,12765.48,6457.29,33633.3,8/12/2023,Europe
100062,Qatar Airways,QA3039,ATL,LHR,Atlanta,London,6/11/2024 15:02,6/12/2024 2:05,21,47,8895,Boeing 737,232,396.96,24025.86,3164.71,32920.37,6/11/2024,North America
100063,United Airlines,UN300,LHR,JFK,London,New York,2/3/2023 3:26,2/3/2023 5:21,0,0,9366,Boeing 737,154,861.11,25780.47,7210.77,41881.78,2/3/2023,Europe
100064,Qatar Airways,QA8156,BLR,LHR,Bangalore,London,11/17/2023 17:45,11/18/2023 0:33,11,0,3320,Boeing 737 MAX,93,362.78,14021.84,2684.52,20490.48,11/17/2023,Asia
100065,Delta Air Lines,DE9866,LAX,SIN,Los Angeles,Singapore,4/19/2023 15:25,4/20/2023 6:15,0,9,9521,Airbus A321,157,175.4,28528.55,5348.44,41871.08,4/19/2023,North America
100066,Lufthansa,LU1725,BLR,ATL,Bangalore,Atlanta,10/23/2024 13:15,10/23/2024 21:48,0,16,5171,Boeing 737 MAX,300,739.15,17362.46,5411.78,26497,10/23/2024,Asia
100067,Southwest Airlines,SO9829,ATL,SYD,Atlanta,Sydney,4/25/2024 21:49,4/26/2024 0:12,0,35,2873,Boeing 737,141,274.67,7613.82,2016.05,18035.91,4/25/2024,North America
100068,Delta Air Lines,DE9763,DOH,LHR,Doha,London,7/29/2023 18:59,7/30/2023 8:02,0,2,4932,Airbus A321,259,1042.76,13032.12,3400.54,22607.32,7/29/2023,Middle East
100069,Lufthansa,LU5139,SIN,ATL,Singapore,Atlanta,2/1/2024 12:55,2/1/2024 17:45,26,0,10910,Airbus A320,118,1097.42,45312.09,2428.46,52731.62,2/1/2024,Asia
100070,IndiGo,IN1417,BLR,SIN,Bangalore,Singapore,4/1/2023 13:14,4/1/2023 22:13,14,31,11583,Boeing 737 MAX,157,863.7,50795.54,5002.83,64723.91,4/1/2023,Asia
100071,Lufthansa,LU439,BLR,JFK,Bangalore,New York,8/23/2023 16:58,8/24/2023 4:16,0,11,4402,Airbus A350,86,182.29,19473.67,7015.75,36391.81,8/23/2023,Asia
100072,Delta Air Lines,DE8156,SIN,LHR,Singapore,London,7/4/2024 16:45,7/4/2024 20:44,15,22,8008,Boeing 787,212,809.69,34691.82,3088.93,47804.71,7/4/2024,Asia
100073,Emirates,EM6661,LAX,DEL,Los Angeles,Delhi,8/31/2023 16:59,8/31/2023 23:27,0,0,11279,Boeing 737 MAX,106,1040.66,35637.21,6162.04,48257.86,8/31/2023,North America
100074,Qatar Airways,QA8989,DEL,JFK,Delhi,New York,8/18/2023 0:35,8/18/2023 5:53,20,13,5596,Airbus A320,109,1166.61,18513.53,5087.58,38458.54,8/18/2023,Asia
100075,Delta Air Lines,DE2246,DOH,DXB,Doha,Dubai,1/13/2024 12:23,1/13/2024 19:33,15,14,10501,Airbus A321,273,638.31,35536.24,2309.67,44050.58,1/13/2024,Middle East
100076,Qatar Airways,QA1627,LHR,DEL,London,Delhi,1/22/2023 0:31,1/22/2023 12:16,0,12,10275,Airbus A320,284,348.01,28942.17,5305.03,43874.22,1/22/2023,Europe
100077,Qatar Airways,QA7836,ATL,LAX,Atlanta,Los Angeles,4/16/2024 15:32,4/16/2024 19:09,15,0,8465,Airbus A320,263,406.88,33105.12,4492.94,46388.05,4/16/2024,North America
100078,United Airlines,UN6898,ATL,DEL,Atlanta,Delhi,5/19/2023 19:09,5/20/2023 6:22,47,16,8627,Boeing 737 MAX,271,1064.85,36475.42,3657.48,52612.97,5/19/2023,North America
100079,IndiGo,IN8924,CDG,BLR,Paris,Bangalore,1/2/2023 20:49,1/3/2023 2:38,0,19,5191,Boeing 787,294,737.37,23348.1,4937.84,33069.09,1/2/2023,Europe
100080,Emirates,EM6374,DOH,CDG,Doha,Paris,7/9/2024 12:09,7/9/2024 22:25,0,22,6480,Boeing 777,196,1124.79,27470.04,7884.65,41220.36,7/9/2024,Middle East
100081,Delta Air Lines,DE2592,ATL,DOH,Atlanta,Doha,6/26/2024 6:39,6/26/2024 15:43,33,0,11854,Boeing 737,287,506.98,53068.32,6754.36,70646.91,6/26/2024,North America
100082,United Airlines,UN6817,DOH,JFK,Doha,New York,3/5/2024 18:09,3/6/2024 0:48,29,15,1944,Boeing 777,296,573.14,6904.9,4741.57,23315.8,3/5/2024,Middle East
100083,American Airlines,AM8842,SIN,ORD,Singapore,Chicago,7/23/2024 2:08,7/23/2024 7:39,26,42,5846,Boeing 737 MAX,239,855.83,22212.89,7110.59,42551.58,7/23/2024,Asia
100084,Qatar Airways,QA1580,DXB,CDG,Dubai,Paris,1/29/2024 22:56,1/30/2024 0:32,5,0,10416,Boeing 787,97,342.94,40297.41,3724.27,49751.52,1/29/2024,Middle East
100085,American Airlines,AM2485,DXB,LAX,Dubai,Los Angeles,5/2/2023 3:26,5/2/2023 16:16,0,0,5206,Boeing 737 MAX,87,131.51,21304.45,3760.21,32562.75,5/2/2023,Middle East
100086,Lufthansa,LU8253,ATL,BLR,Atlanta,Bangalore,5/11/2024 11:19,5/12/2024 1:50,8,14,3250,Boeing 777,123,276.08,12086.7,4295.27,27579.58,5/11/2024,North America
100087,Southwest Airlines,SO9055,BLR,ORD,Bangalore,Chicago,4/9/2024 12:11,4/9/2024 17:31,15,22,7829,Boeing 737 MAX,145,826.86,33647.61,4791.52,44890.71,4/9/2024,Asia
100088,Qatar Airways,QA8016,ORD,LAX,Chicago,Los Angeles,3/3/2024 20:33,3/4/2024 2:39,10,34,10768,Boeing 737,188,853.15,36758.42,3812.73,55563.63,3/3/2024,North America
100089,Lufthansa,LU9372,LAX,LHR,Los Angeles,London,9/19/2023 9:15,9/19/2023 20:03,4,56,5147,Boeing 777,259,410.66,22934.46,5949.38,35177.6,9/19/2023,North America
100090,Qatar Airways,QA2340,SIN,JFK,Singapore,New York,10/20/2024 9:15,10/20/2024 15:08,22,0,4070,Boeing 787,235,978.16,11957.7,3140.79,21106.01,10/20/2024,Asia
100091,Delta Air Lines,DE6907,SIN,LAX,Singapore,Los Angeles,7/28/2024 5:58,7/28/2024 14:29,0,16,846,Boeing 737,228,488.64,2337.35,7457.77,16715.75,7/28/2024,Asia
100092,United Airlines,UN7994,ORD,LHR,Chicago,London,1/28/2024 18:50,1/29/2024 2:04,5,20,8997,Boeing 787,208,1103.11,37436.02,3541.82,53874.12,1/28/2024,North America
100093,American Airlines,AM9231,LHR,DXB,London,Dubai,2/24/2023 19:57,2/24/2023 23:21,19,6,3996,Boeing 737 MAX,300,837.48,15379.85,4384.47,32913.25,2/24/2023,Europe
100094,Lufthansa,LU6186,CDG,LAX,Paris,Los Angeles,7/12/2023 13:44,7/12/2023 23:53,0,0,2324,Airbus A320,196,492.82,9291.41,3572.97,20436.69,7/12/2023,Europe
100095,Southwest Airlines,SO5051,LAX,SYD,Los Angeles,Sydney,1/19/2023 5:20,1/19/2023 16:54,1,23,9498,Boeing 737 MAX,163,1105.09,27950.09,2379.3,43215.65,1/19/2023,North America
100096,American Airlines,AM6178,SIN,DXB,Singapore,Dubai,2/3/2023 0:29,2/3/2023 2:07,14,0,5286,Airbus A321,206,210.05,15697.31,5225.28,28586.34,2/3/2023,Asia
100097,Lufthansa,LU4683,SIN,DEL,Singapore,Delhi,6/24/2024 12:05,6/25/2024 1:29,13,14,2831,Boeing 777,186,813.51,11797.87,5693.91,31760.42,6/24/2024,Asia
100098,Southwest Airlines,SO1092,JFK,DXB,New York,Dubai,11/20/2023 19:37,11/21/2023 0:38,0,10,6242,Boeing 737 MAX,105,1178.64,20190.81,7410.18,38338.91,11/20/2023,North America
100099,Southwest Airlines,SO5564,DXB,LHR,Dubai,London,11/22/2024 1:09,11/22/2024 9:54,11,0,1801,Airbus A320,249,317.56,6805.95,7826.56,18239.45,11/22/2024,Middle East
100100,Southwest Airlines,SO9864,ATL,ORD,Atlanta,Chicago,8/27/2024 6:07,8/27/2024 20:10,17,18,9380,Airbus A320,133,736.75,38702.87,3397.99,54393.28,8/27/2024,North America
100101,United Airlines,UN3998,JFK,CDG,New York,Paris,1/29/2024 8:56,1/29/2024 14:12,31,26,3158,Airbus A321,108,820.38,8057.83,2089.16,22626.81,1/29/2024,North America
100102,Delta Air Lines,DE6031,BLR,CDG,Bangalore,Paris,7/13/2023 5:38,7/13/2023 7:31,0,0,2376,Airbus A321,269,551.48,6480.06,2381.35,17240.71,7/13/2023,Asia
100103,American Airlines,AM610,DEL,SIN,Delhi,Singapore,1/2/2024 21:13,1/3/2024 1:59,20,17,10377,Boeing 737 MAX,91,894.51,44802.73,5953.42,57375.71,1/2/2024,Asia
100104,Lufthansa,LU1176,JFK,DEL,New York,Delhi,5/14/2024 14:25,5/14/2024 17:15,20,77,8332,Boeing 737 MAX,262,1098.86,22054.65,2484.74,34838.96,5/14/2024,North America
100105,Emirates,EM9133,ORD,CDG,Chicago,Paris,3/11/2024 0:10,3/11/2024 10:13,21,28,5131,Boeing 737 MAX,196,646.22,17242.21,6758.58,28373.76,3/11/2024,North America
100106,Lufthansa,LU5220,SYD,ATL,Sydney,Atlanta,10/8/2024 16:30,10/8/2024 21:23,29,19,7079,Boeing 737 MAX,166,1006.71,23342.72,6377.68,36470.98,10/8/2024,Australia
100107,Emirates,EM2231,SIN,LHR,Singapore,London,5/15/2024 3:04,5/15/2024 12:09,3,21,1399,Airbus A321,103,1011.58,3758.36,2579.39,18203.3,5/15/2024,Asia
100108,Emirates,EM4812,DEL,JFK,Delhi,New York,3/31/2023 0:08,3/31/2023 8:08,0,3,6093,Airbus A350,250,1134.07,20386.41,7495.06,31498.82,3/31/2023,Asia
100109,Emirates,EM6122,BLR,LHR,Bangalore,London,2/25/2024 19:51,2/26/2024 5:30,0,9,3785,Airbus A320,119,815.54,11160.03,2649.31,26953.82,2/25/2024,Asia
100110,Southwest Airlines,SO4481,LAX,CDG,Los Angeles,Paris,11/9/2023 11:16,11/9/2023 21:50,56,0,10486,Boeing 787,237,835.97,37890.95,5653.97,54438.89,11/9/2023,North America
100111,IndiGo,IN2424,JFK,ATL,New York,Atlanta,7/9/2024 4:04,7/9/2024 10:20,23,0,5867,Airbus A350,169,86.84,24874.47,5397.93,38081.81,7/9/2024,North America
100112,Delta Air Lines,DE9399,SYD,SIN,Sydney,Singapore,6/27/2024 7:14,6/27/2024 17:17,0,27,3824,Airbus A320,176,550.21,12167.17,4220.32,28046.64,6/27/2024,Australia
100113,Delta Air Lines,DE7342,BLR,LAX,Bangalore,Los Angeles,4/25/2023 14:56,4/26/2023 4:48,11,0,10422,Airbus A321,92,834.84,31726.71,5971.63,46526.28,4/25/2023,Asia
100114,Southwest Airlines,SO5153,DXB,LHR,Dubai,London,1/9/2024 1:54,1/9/2024 4:50,0,20,5955,Boeing 787,190,204.2,22965.08,5558.81,37847.1,1/9/2024,Middle East
100115,Lufthansa,LU2065,JFK,LHR,New York,London,2/9/2023 21:23,2/9/2023 22:30,0,11,3649,Boeing 777,157,1138.76,14722.62,6584.97,27780.96,2/9/2023,North America
100116,Lufthansa,LU6605,JFK,DEL,New York,Delhi,4/5/2023 1:41,4/5/2023 9:10,10,0,9025,Airbus A321,260,337.72,32647.46,6008.29,45905.76,4/5/2023,North America
100117,Lufthansa,LU6736,SYD,JFK,Sydney,New York,12/1/2023 18:47,12/1/2023 21:06,52,19,5429,Airbus A320,227,560.8,17963.72,5840.85,30278.75,12/1/2023,Australia
100118,United Airlines,UN7238,JFK,DXB,New York,Dubai,11/21/2024 0:45,11/21/2024 12:17,0,11,7838,Boeing 787,292,852.36,25267.4,4620.27,34158.03,11/21/2024,North America
100119,American Airlines,AM8455,BLR,DXB,Bangalore,Dubai,9/25/2024 21:31,9/26/2024 3:48,0,23,5862,Boeing 737 MAX,136,453.04,16626.19,5062.9,26057.41,9/25/2024,Asia
100120,Emirates,EM2604,ATL,DXB,Atlanta,Dubai,11/28/2024 18:10,11/29/2024 9:08,0,5,10874,Airbus A350,288,245.41,29420.79,3535.81,38038.59,11/28/2024,North America
100121,United Airlines,UN5395,SIN,LAX,Singapore,Los Angeles,4/2/2024 6:12,4/2/2024 15:37,20,23,7901,Boeing 787,273,711.38,28909.25,6086.8,48580.63,4/2/2024,Asia
100122,United Airlines,UN5185,SIN,CDG,Singapore,Paris,2/19/2023 17:23,2/20/2023 2:23,0,1,7545,Boeing 737 MAX,241,419.16,23007.33,2337.03,34432.4,2/19/2023,Asia
100123,Delta Air Lines,DE7681,DOH,DEL,Doha,Delhi,9/26/2023 12:09,9/26/2023 18:02,0,0,1557,Airbus A320,245,1047.96,6555.88,5690.05,21330.74,9/26/2023,Middle East
100124,Delta Air Lines,DE7481,BLR,DEL,Bangalore,Delhi,10/23/2024 22:47,10/24/2024 13:36,45,15,9666,Boeing 737 MAX,246,290.83,35860.97,5008.2,55361.84,10/23/2024,Asia
100125,American Airlines,AM6062,LAX,DXB,Los Angeles,Dubai,4/15/2024 11:53,4/15/2024 15:49,0,24,941,Boeing 777,143,872.54,4217.54,5144.41,19679.61,4/15/2024,North America
100126,Lufthansa,LU9241,CDG,LHR,Paris,London,7/17/2024 22:45,7/18/2024 5:31,52,26,11423,Boeing 737 MAX,233,138.65,42970.73,4007.9,53934.92,7/17/2024,Europe
100127,IndiGo,IN6521,SIN,DXB,Singapore,Dubai,6/11/2024 0:09,6/11/2024 12:21,0,0,10174,Boeing 737,118,453.37,37292.58,2848.57,47339,6/11/2024,Asia
100128,American Airlines,AM8724,ORD,SIN,Chicago,Singapore,2/11/2024 23:52,2/12/2024 7:17,35,0,10842,Boeing 737,282,447.89,29876.08,6216.99,50458.37,2/11/2024,North America
100129,Lufthansa,LU3811,LAX,SYD,Los Angeles,Sydney,9/21/2023 11:24,9/21/2023 12:42,18,21,6240,Boeing 777,159,281.89,18273.12,7686.01,34794.38,9/21/2023,North America
100130,American Airlines,AM5617,ORD,ATL,Chicago,Atlanta,9/6/2024 21:27,9/7/2024 11:54,0,6,1957,Boeing 737,209,943.38,8161.16,7302.09,18916.22,9/6/2024,North America
100131,Lufthansa,LU6068,BLR,ORD,Bangalore,Chicago,4/29/2023 3:28,4/29/2023 7:33,0,0,11651,Airbus A321,277,779.71,50161.19,6327.1,60012.6,4/29/2023,Asia
100132,Qatar Airways,QA3278,SIN,ATL,Singapore,Atlanta,7/27/2023 11:28,7/28/2023 1:18,4,0,7655,Boeing 777,139,678.09,23875.45,6851.74,39355.38,7/27/2023,Asia
100133,Qatar Airways,QA2367,CDG,SYD,Paris,Sydney,7/14/2024 6:54,7/14/2024 12:42,42,0,6556,Boeing 737 MAX,208,670.75,29059.71,6901.35,48576.17,7/14/2024,Europe
100134,Qatar Airways,QA4569,LHR,JFK,London,New York,9/28/2023 7:24,9/28/2023 17:51,1,10,1980,Boeing 787,262,1027.4,8320.62,3710.38,24188.4,9/28/2023,Europe
100135,United Airlines,UN8324,DOH,BLR,Doha,Bangalore,11/15/2023 13:23,11/15/2023 15:56,38,0,3937,Boeing 787,289,585.26,12595.13,2160.02,18394.23,11/15/2023,Middle East
